,5,50,95,date
0,101584.26250000001,102246.9140625,102978.9421875,1980-01-01
1,100988.96250000001,101691.859375,102526.18437500001,1980-02-01
2,100782.96250000001,101833.4765625,102371.1953125,1980-03-01
3,101050.55468750001,101604.8671875,101906.053125,1980-04-01
4,100781.26718750001,101969.4296875,102003.59999999999,1980-05-01
5,101232.10625000001,101558.640625,101819.18125,1980-06-01
6,101551.31718750001,101789.25,101800.3828125,1980-07-01
7,101428.2578125,101847.546875,101966.1546875,1980-08-01
8,101334.5375,101627.578125,102085.61875000001,1980-09-01
9,101036.596875,101267.6171875,101578.0875,1980-10-01
10,100630.2296875,101495.875,101915.359375,1980-11-01
11,101378.40625,101787.9140625,102968.46875,1980-12-01
12,100963.975,101279.578125,102425.4890625,1981-01-01
13,100842.58281250001,101075.9375,101936.7234375,1981-02-01
14,101263.796875,102246.0625,102759.3296875,1981-03-01
15,101395.3234375,101489.125,102230.18593749999,1981-04-01
16,101040.40625,101590.2265625,101944.7421875,1981-05-01
17,101424.76093750002,101732.625,101924.821875,1981-06-01
18,101382.0234375,101945.6875,101998.66875,1981-07-01
19,101329.1296875,101927.734375,102122.21875,1981-08-01
20,101289.815625,101777.0,102007.2484375,1981-09-01
21,100860.35625000001,101636.0859375,102421.496875,1981-10-01
22,100780.1921875,101425.7265625,101799.628125,1981-11-01
23,101153.69843750002,101321.5,102257.7375,1981-12-01
24,101361.50468750001,101791.0625,102162.4609375,1982-01-01
25,101307.21875,101600.875,101841.4828125,1982-02-01
26,100838.053125,101946.3046875,102356.70000000001,1982-03-01
27,100187.94687500001,101217.9140625,102056.1375,1982-04-01
28,100888.4453125,101411.3125,101449.4265625,1982-05-01
29,101307.81718750001,101675.609375,101912.925,1982-06-01
30,101434.78125000001,101711.953125,101955.7125,1982-07-01
31,101458.6203125,101637.171875,102168.4015625,1982-08-01
32,101134.41562500001,101488.1171875,102452.4453125,1982-09-01
33,100875.984375,101403.25,101570.54375,1982-10-01
34,101303.1859375,101817.140625,102451.2765625,1982-11-01
35,101091.50937500001,101456.140625,102117.8,1982-12-01
36,100874.17656250001,101972.65625,102122.625,1983-01-01
37,100432.87500000001,101848.1875,102692.61406250001,1983-02-01
38,100499.2921875,101554.375,103030.1625,1983-03-01
39,100493.084375,101730.5390625,102355.8328125,1983-04-01
40,100741.1,101242.1484375,101690.590625,1983-05-01
