,5,50,95,date
0,1.2513910041889177e-05,2.9255588742671534e-05,3.991924822912551e-05,1980-01-01
1,2.499441325198859e-05,3.6862566048512235e-05,4.2437267256900665e-05,1980-02-01
2,1.5417239410453476e-05,2.543431764934212e-05,2.864782545657363e-05,1980-03-01
3,7.90045305620879e-06,2.1894569727010094e-05,3.437155683059245e-05,1980-04-01
4,9.048128777067178e-06,2.4215998564613983e-05,3.041784220840782e-05,1980-05-01
5,9.19095655262936e-06,1.8941174857900478e-05,2.3797661560820417e-05,1980-06-01
6,3.050837949558627e-06,2.2262172933551483e-05,3.264420665800571e-05,1980-07-01
7,1.1970829655183481e-05,2.9482924219337292e-05,3.641264702309854e-05,1980-08-01
8,6.1496644775616e-06,1.6673884601914324e-05,3.527918379404582e-05,1980-09-01
9,2.9918050859123472e-05,3.631177241913974e-05,5.572026784648187e-05,1980-10-01
10,2.5369554714416156e-05,3.0664901714771986e-05,5.405037809396162e-05,1980-11-01
11,8.963004984252622e-06,3.4702461562119424e-05,4.910909701720812e-05,1980-12-01
12,1.8275474576512352e-05,2.8030408429913223e-05,4.849876349908299e-05,1981-01-01
13,3.4718167444225405e-05,4.006220115115866e-05,4.912899748887867e-05,1981-02-01
14,7.692120561841875e-06,1.4777565411350224e-05,1.7145460515166632e-05,1981-03-01
15,9.468530333833768e-06,2.2371665181708522e-05,3.043760516447946e-05,1981-04-01
16,1.9422836339799686e-05,2.5556228138157167e-05,3.491450261208229e-05,1981-05-01
17,8.91231647983659e-06,1.6405010683229193e-05,2.1361015024012888e-05,1981-06-01
18,2.4942711206676905e-06,1.0714988093241118e-05,2.3727025836706162e-05,1981-07-01
19,1.159313014795771e-05,1.551788955111988e-05,3.114157807431184e-05,1981-08-01
20,1.7241426758118908e-05,2.8156262487755157e-05,5.325053716660477e-05,1981-09-01
21,9.348943240183872e-06,3.8786478398833424e-05,5.978847329970449e-05,1981-10-01
22,1.4888623991282656e-05,4.221722701913677e-05,5.316290335031226e-05,1981-11-01
23,2.2168366194819102e-05,2.727396167756524e-05,3.320931500638835e-05,1981-12-01
24,1.7346811364404858e-05,3.737418956006877e-05,6.060213418095372e-05,1982-01-01
25,3.229844369343482e-05,3.565532460925169e-05,4.206936355330982e-05,1982-02-01
26,5.714776307286229e-06,2.345058419450652e-05,5.169663490960374e-05,1982-03-01
27,1.662181712163147e-05,3.14286990032997e-05,3.769153045141138e-05,1982-04-01
28,1.4799039854551666e-05,2.8645195925491862e-05,3.589907064451836e-05,1982-05-01
29,1.544209626445081e-05,1.7401642253389582e-05,2.7391915864427574e-05,1982-06-01
30,8.162427911884152e-06,1.7793778170016594e-05,4.691774884122424e-05,1982-07-01
