,5,50,95,date
0,3.59718433173839e-05,5.3270257922122255e-05,6.488245271611959e-05,2020-01-01
1,1.542132522445172e-05,4.543094109976664e-05,6.328243762254715e-05,2020-02-01
2,1.5846750102355145e-05,2.610314913908951e-05,4.521612790995277e-05,2020-03-01
3,2.152492197637912e-05,2.396934178250376e-05,2.5984097374021075e-05,2020-04-01
4,7.227977766888216e-06,2.1007508621551096e-05,2.9500254822778515e-05,2020-05-01
5,1.9101124416920355e-05,2.7054682504967786e-05,3.339148679515347e-05,2020-06-01
6,5.179508752917172e-06,1.7081825717468746e-05,3.659648355096579e-05,2020-07-01
7,8.55152520671254e-06,1.5496079868171364e-05,3.493152762530371e-05,2020-08-01
8,8.457476360490545e-06,1.7914786440087482e-05,5.353487540560308e-05,2020-09-01
9,1.998585394176189e-05,3.0082324883551337e-05,4.698349948739632e-05,2020-10-01
10,2.30407364142593e-05,3.12838819809258e-05,6.158525357022881e-05,2020-11-01
11,2.8230404859641572e-05,4.7809586249059066e-05,6.298545849858783e-05,2020-12-01
12,1.6629554011160508e-05,3.749204188352451e-05,5.3463772201212126e-05,2021-01-01
13,2.1962790196994322e-05,4.952599192620255e-05,5.744440350099466e-05,2021-02-01
14,1.147650746133877e-05,1.3677356946573127e-05,2.9778058888041414e-05,2021-03-01
15,1.578352639626246e-05,2.8198259315104224e-05,4.01288372813724e-05,2021-04-01
16,1.961043235496618e-05,2.761822906904854e-05,3.6870285111945125e-05,2021-05-01
17,1.0209867286903319e-05,2.3148617401602678e-05,3.069203121413011e-05,2021-06-01
18,7.555676893389319e-06,3.2607513276161626e-05,4.547019052552059e-05,2021-07-01
19,1.3190587924327702e-05,2.7468253392726183e-05,3.1911927726469e-05,2021-08-01
20,8.19628985482268e-06,1.250019977305783e-05,4.464871781237888e-05,2021-09-01
21,1.1049363456550056e-05,3.484676926746033e-05,5.0187968008685856e-05,2021-10-01
22,3.24266184179578e-05,3.9427937736036256e-05,5.789771021227352e-05,2021-11-01
23,3.5524291888577864e-05,4.568616350297816e-05,7.678008696530015e-05,2021-12-01
24,9.869764107861556e-06,2.743072582234163e-05,5.724471629946492e-05,2022-01-01
25,9.138120003626681e-06,2.3419313947670162e-05,5.676622677128762e-05,2022-02-01
26,2.408830332569778e-05,3.1694693461759016e-05,3.935798376915045e-05,2022-03-01
27,1.573483386891894e-05,2.3959899408509955e-05,4.0492152766091746e-05,2022-04-01
28,9.524047527520452e-06,1.8970045857713558e-05,3.214200369257014e-05,2022-05-01
29,4.41479314758908e-06,1.1748294127755798e-05,2.887658120016567e-05,2022-06-01
30,3.936618850275409e-06,1.0216894224868156e-05,3.113792918156832e-05,2022-07-01
31,6.293332262430341e-06,1.457310554542346e-05,2.475464789313264e-05,2022-08-01
32,1.1255020945100114e-05,2.361428960284684e-05,3.231980917917099e-05,2022-09-01
33,8.493979112245143e-06,2.205899727414362e-05,6.29962025413988e-05,2022-10-01
34,1.8078268840326928e-05,2.6532579795457423e-05,4.514708271017298e-05,2022-11-01
35,2.9522825934691353e-05,4.983347753295675e-05,5.837997086928226e-05,2022-12-01
36,2.7535272238310426e-05,4.178515519015491e-05,5.614442197838798e-05,2023-01-01
37,1.8467647532816044e-05,4.029842239106074e-05,4.899539126199671e-05,2023-02-01
38,2.7898371627088636e-05,4.7290188376791775e-05,4.9871162627823654e-05,2023-03-01
39,1.005559133773204e-05,2.386915366514586e-05,3.7632876410498287e-05,2023-04-01
40,1.6317293557222e-05,1.739376239129342e-05,2.8126037796027956e-05,2023-05-01
41,1.0842192205018364e-05,2.464701719873119e-05,3.521683356666472e-05,2023-06-01
42,7.430854748236016e-06,1.7717085938784294e-05,3.112443519057706e-05,2023-07-01
43,5.042279917688575e-06,8.085395165835507e-06,3.180872699886095e-05,2023-08-01
44,1.268821069970727e-05,1.665049057919532e-05,2.2745668684365227e-05,2023-09-01
45,2.6683092437451707e-05,4.322431414038874e-05,5.8228195848641916e-05,2023-10-01
46,3.1624229450244457e-05,4.0057580918073654e-05,4.785563432960771e-05,2023-11-01
47,3.25969849654939e-05,3.422478766879067e-05,8.016107167350127e-05,2023-12-01
48,3.975860745413229e-05,4.6707718865945935e-05,6.872897865832784e-05,2024-01-01
49,1.3045448213233612e-05,2.7263171432423405e-05,4.5143662282498555e-05,2024-02-01
50,7.739758257230277e-06,1.9122924641123973e-05,4.628420283552259e-05,2024-03-01
51,1.5952401008689778e-05,1.9621455066953786e-05,3.143669091514312e-05,2024-04-01
52,6.363775173667819e-06,1.6405687347287312e-05,3.545294639479834e-05,2024-05-01
53,2.4675090025993997e-05,3.062435644096695e-05,4.006053495686501e-05,2024-06-01
54,1.0762339843495284e-05,1.3557986676460132e-05,2.6984485521097665e-05,2024-07-01
55,4.940395319863455e-06,8.520506526110694e-06,1.566892005939735e-05,2024-08-01
56,1.1170060315635056e-05,2.1114989067427814e-05,4.637214915419462e-05,2024-09-01
57,1.9843584595946595e-05,2.8219630621606484e-05,5.03438335726969e-05,2024-10-01
58,4.234982770867646e-05,4.898646875517443e-05,7.025054437690414e-05,2024-11-01
59,3.0097271519480273e-05,4.3649306462612e-05,5.950499908067286e-05,2024-12-01
60,2.7040707936976106e-05,4.4009026169078425e-05,6.023522437317297e-05,2025-01-01
61,1.754972472554073e-05,3.8639595004497096e-05,4.2229393147863445e-05,2025-02-01
62,1.2743514707835858e-05,2.6724279450718313e-05,4.533128885668702e-05,2025-03-01
63,1.9822274407488297e-05,3.9430891774827614e-05,4.685218227677979e-05,2025-04-01
64,2.1385381478467026e-05,2.9761591576971114e-05,3.7177518242970104e-05,2025-05-01
65,1.1333315705996938e-05,1.961319321708288e-05,4.143545738770626e-05,2025-06-01
66,3.172032484144438e-06,5.889022759220097e-06,3.229319409001618e-05,2025-07-01
67,1.0884803123190067e-05,1.3821829270455055e-05,3.864420250465628e-05,2025-08-01
68,1.2390432493702976e-05,3.0406650694203563e-05,5.160095315659419e-05,2025-09-01
69,1.2734637493849732e-05,2.8029706300003454e-05,3.8312534161377695e-05,2025-10-01
70,2.510972262825817e-05,4.1340779716847464e-05,5.1369687571423126e-05,2025-11-01
71,3.0480204441118988e-05,5.076713568996638e-05,6.472640452557244e-05,2025-12-01
72,2.0209801732562482e-05,4.0054201235761866e-05,4.398385935928672e-05,2026-01-01
73,2.9140934930182997e-05,4.317077764426358e-05,4.673330331570469e-05,2026-02-01
74,1.2677215272560717e-05,3.323339478811249e-05,4.339639999670908e-05,2026-03-01
75,9.609118569642305e-06,1.8067390556097962e-05,3.3243227517232295e-05,2026-04-01
76,4.863286631007213e-06,1.9731689462787472e-05,3.870118998747784e-05,2026-05-01
77,9.676952686277218e-06,3.788920366787352e-05,5.5048462672857565e-05,2026-06-01
78,4.114775401831139e-06,1.2623289876501076e-05,3.3276760768785606e-05,2026-07-01
