,5,50,95,date
0,8.860558591550216e-05,8.860558591550216e-05,8.860558591550216e-05,2015-01-01
1,9.587442764313892e-05,9.587442764313892e-05,9.587442764313892e-05,2015-02-01
2,1.4934000319044571e-05,1.4934000319044571e-05,1.4934000319044571e-05,2015-03-01
3,3.0280647479230538e-05,3.0280647479230538e-05,3.0280647479230538e-05,2015-04-01
4,3.278453732491471e-05,3.278453732491471e-05,3.278453732491471e-05,2015-05-01
5,1.6690522897988558e-05,1.6690522897988558e-05,1.6690522897988558e-05,2015-06-01
6,2.676379335753154e-05,2.676379335753154e-05,2.676379335753154e-05,2015-07-01
7,1.19255846584565e-05,1.19255846584565e-05,1.19255846584565e-05,2015-08-01
8,2.483935713826213e-05,2.483935713826213e-05,2.483935713826213e-05,2015-09-01
9,9.023971870192327e-06,9.023971870192327e-06,9.023971870192327e-06,2015-10-01
10,3.54166841134429e-05,3.54166841134429e-05,3.54166841134429e-05,2015-11-01
11,5.063851858722046e-05,5.063851858722046e-05,5.063851858722046e-05,2015-12-01
12,4.368248119135387e-05,4.368248119135387e-05,4.368248119135387e-05,2016-01-01
13,3.542229751474224e-05,3.542229751474224e-05,3.542229751474224e-05,2016-02-01
14,4.016613092971966e-05,4.016613092971966e-05,4.016613092971966e-05,2016-03-01
15,3.039129478565883e-05,3.039129478565883e-05,3.039129478565883e-05,2016-04-01
16,5.4914267821004614e-05,5.4914267821004614e-05,5.4914267821004614e-05,2016-05-01
17,2.0567127648973837e-05,2.0567127648973837e-05,2.0567127648973837e-05,2016-06-01
18,1.0283985830028541e-05,1.0283985830028541e-05,1.0283985830028541e-05,2016-07-01
19,1.849545333243441e-05,1.849545333243441e-05,1.849545333243441e-05,2016-08-01
20,2.272063647978939e-05,2.272063647978939e-05,2.272063647978939e-05,2016-09-01
21,5.050297113484703e-05,5.050297113484703e-05,5.050297113484703e-05,2016-10-01
22,4.2123854655073956e-05,4.2123854655073956e-05,4.2123854655073956e-05,2016-11-01
