,5,50,95,date
0,101533.640625,101533.640625,101533.640625,2015-01-01
1,100282.078125,100282.078125,100282.078125,2015-02-01
2,102356.2734375,102356.2734375,102356.2734375,2015-03-01
3,101453.671875,101453.671875,101453.671875,2015-04-01
4,101233.0625,101233.0625,101233.0625,2015-05-01
5,101787.3671875,101787.3671875,101787.3671875,2015-06-01
6,101471.390625,101471.390625,101471.390625,2015-07-01
7,101761.734375,101761.734375,101761.734375,2015-08-01
8,102001.9375,102001.9375,102001.9375,2015-09-01
9,102648.6015625,102648.6015625,102648.6015625,2015-10-01
10,102101.953125,102101.953125,102101.953125,2015-11-01
11,101686.78125,101686.78125,101686.78125,2015-12-01
12,101787.28125,101787.28125,101787.28125,2016-01-01
13,102012.71875,102012.71875,102012.71875,2016-02-01
14,101640.078125,101640.078125,101640.078125,2016-03-01
15,101496.765625,101496.765625,101496.765625,2016-04-01
16,100932.9140625,100932.9140625,100932.9140625,2016-05-01
17,101895.9375,101895.9375,101895.9375,2016-06-01
18,101977.515625,101977.515625,101977.515625,2016-07-01
19,101837.390625,101837.390625,101837.390625,2016-08-01
20,101740.2421875,101740.2421875,101740.2421875,2016-09-01
21,101539.59375,101539.59375,101539.59375,2016-10-01
22,102131.046875,102131.046875,102131.046875,2016-11-01
23,102423.7109375,102423.7109375,102423.7109375,2016-12-01
24,101928.21875,101928.21875,101928.21875,2017-01-01
25,101016.34375,101016.34375,101016.34375,2017-02-01
26,101909.8125,101909.8125,101909.8125,2017-03-01
27,102158.296875,102158.296875,102158.296875,2017-04-01
28,101524.2265625,101524.2265625,101524.2265625,2017-05-01
29,101948.8125,101948.8125,101948.8125,2017-06-01
30,101619.0859375,101619.0859375,101619.0859375,2017-07-01
31,102141.5703125,102141.5703125,102141.5703125,2017-08-01
32,102024.5703125,102024.5703125,102024.5703125,2017-09-01
33,101986.46875,101986.46875,101986.46875,2017-10-01
34,100941.890625,100941.890625,100941.890625,2017-11-01
35,101139.5625,101139.5625,101139.5625,2017-12-01
36,101492.015625,101492.015625,101492.015625,2018-01-01
37,101922.1875,101922.1875,101922.1875,2018-02-01
38,101364.4765625,101364.4765625,101364.4765625,2018-03-01
39,101729.171875,101729.171875,101729.171875,2018-04-01
40,101292.2890625,101292.2890625,101292.2890625,2018-05-01
41,101387.21875,101387.21875,101387.21875,2018-06-01
42,101680.9921875,101680.9921875,101680.9921875,2018-07-01
43,101809.7421875,101809.7421875,101809.7421875,2018-08-01
44,101451.796875,101451.796875,101451.796875,2018-09-01
45,101427.6015625,101427.6015625,101427.6015625,2018-10-01
46,102175.78125,102175.78125,102175.78125,2018-11-01
47,102141.9765625,102141.9765625,102141.9765625,2018-12-01
48,101643.765625,101643.765625,101643.765625,2019-01-01
49,101774.0234375,101774.0234375,101774.0234375,2019-02-01
50,101537.84375,101537.84375,101537.84375,2019-03-01
51,101489.5234375,101489.5234375,101489.5234375,2019-04-01
52,101949.9296875,101949.9296875,101949.9296875,2019-05-01
53,101821.8828125,101821.8828125,101821.8828125,2019-06-01
54,101764.265625,101764.265625,101764.265625,2019-07-01
55,101717.0234375,101717.0234375,101717.0234375,2019-08-01
56,102287.484375,102287.484375,102287.484375,2019-09-01
57,102620.375,102620.375,102620.375,2019-10-01
58,101714.1171875,101714.1171875,101714.1171875,2019-11-01
59,100777.5859375,100777.5859375,100777.5859375,2019-12-01
